indicator,indicator_name,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Свердловская,8.1544,6.1607,24.45
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Северная,7.0795,3.7275,47.35
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Северо-Кавказская,7.1874,3.0626,57.39
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Юго-Восточная,6.0361,4.3666,27.66
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Южно-Уральская,9.456,3.5658,62.29
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Восточно-Сибирская,3.6734,1.7397,52.64
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Горьковская,3.9076,2.0174,48.37
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Дальневосточная,4.6226,1.941,58.01
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Забайкальская,4.6474,3.454,25.68
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Западно-Сибирская,4.4966,3.7382,16.87
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Калининградская,5.9672,4.461,25.24
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Красноярская,4.7402,2.5705,45.77
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Куйбышевская,4.9876,3.0496,38.86
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Московская,5.1811,2.4501,52.71
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Октябрьская,3.5325,2.0002,43.38
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Приволжская,4.9246,2.4425,50.4
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Свердловская,4.6434,2.3294,49.83
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Северная,4.5932,2.7322,40.52
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Северо-Кавказская,4.1191,2.7793,32.53
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Юго-Восточная,2.2682,2.3711,-4.54
LOSS_COUNT_TOTAL,Количество технических отказов и технологических нарушений,Южно-Уральская,3.635,3.0604,15.81
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Восточно-Сибирская,7.2844,2.7615,62.09
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Горьковская,6.7941,4.8559,28.53
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Дальневосточная,7.776,4.2041,45.93
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Забайкальская,7.6364,3.3103,56.65
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Западно-Сибирская,6.3188,3.2766,48.15
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Калининградская,4.9653,5.6155,-13.09
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Красноярская,7.1055,3.7338,47.45
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Куйбышевская,4.9344,1.9067,61.36
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Московская,4.178,2.5772,38.32
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Октябрьская,5.972,2.5229,57.75
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Приволжская,5.6586,3.5091,37.99
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Свердловская,4.3869,2.7401,37.54
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Северная,5.3616,3.33,37.89
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Северо-Кавказская,4.6732,2.2798,51.21
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Юго-Восточная,6.5614,5.4563,16.84
LOSS_SUM_TOTAL,Потери поездо-часов из-за технических отказов и технологических нарушений,Южно-Уральская,5.3813,2.0259,62.35
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Восточно-Сибирская,7.1001,3.2796,53.81
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Горьковская,7.4512,5.3002,28.87
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Дальневосточная,7.6335,4.1004,46.28
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Забайкальская,8.4012,3.6811,56.18
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Западно-Сибирская,6.3681,2.8748,54.86
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Калининградская,5.2823,5.8335,-10.43
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Красноярская,6.8459,3.6471,46.73
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Куйбышевская,4.5531,2.3918,47.47
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Московская,4.5571,3.0124,33.9
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Октябрьская,6.8342,3.2801,52.0
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Приволжская,6.0778,3.4752,42.82
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Свердловская,4.816,2.5687,46.66
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Северная,5.7045,3.1331,45.08
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Северо-Кавказская,5.4697,2.5835,52.77
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Юго-Восточная,7.3884,5.8926,20.25
SPECIFIC_LOSS,Удельный показатель общих потерь поездо-часов от отказов технических средств и технологических нарушений на 1 млн. поездо-км,Южно-Уральская,4.6937,1.3991,70.19
