ROAD_NAME,YEAR,MONTH,TRAIN_KM,TRAIN_KM_lower_95,TRAIN_KM_upper_95,LOSS_12_COUNT,LOSS_12_COUNT_lower_95,LOSS_12_COUNT_upper_95,LOSS_12_SUM,LOSS_12_SUM_lower_95,LOSS_12_SUM_upper_95,LOSS_3_COUNT,LOSS_3_COUNT_lower_95,LOSS_3_COUNT_upper_95,LOSS_3_SUM,LOSS_3_SUM_lower_95,LOSS_3_SUM_upper_95,LOSS_TECH_COUNT,LOSS_TECH_COUNT_lower_95,LOSS_TECH_COUNT_upper_95,LOSS_TECH_SUM,LOSS_TECH_SUM_lower_95,LOSS_TECH_SUM_upper_95,LOSS_COUNT_TOTAL,LOSS_COUNT_TOTAL_lower_95,LOSS_COUNT_TOTAL_upper_95,LOSS_SUM_TOTAL,LOSS_SUM_TOTAL_lower_95,LOSS_SUM_TOTAL_upper_95,SPECIFIC_LOSS,SPECIFIC_LOSS_lower_95,SPECIFIC_LOSS_upper_95
Красноярская,2025,8,5624966.979722366,5343718.630736248,5906215.328708484,172,163,181,460.3645575724216,437.3463296938005,483.38278545104265,962,914,1010,16.696422539724928,15.86160141273868,17.531243666711177,431,409,453,323.37351617907444,307.2048403701207,339.5421919880282,1565,1487,1643,800.434496291221,760.4127714766598,840.4562211057821,142.30030134874292,135.18528628130576,149.41531641618008
Красноярская,2025,9,5621351.170920178,5340283.612374169,5902418.729466188,180,171,189,478.40821335211274,454.4878026845071,502.3286240197184,997,947,1047,17.47933998759815,16.60537298821824,18.35330698697806,452,429,475,341.62424739288144,324.54303502323734,358.70545976252555,1629,1548,1710,837.5118007325923,795.6362106959626,879.387390769222,148.9876322022232,141.53825059211204,156.43701381233438
Красноярская,2025,10,5577486.077754719,5298611.773866983,5856360.381642455,195,185,205,523.023583566232,496.87240438792037,549.1747627445436,1080,1026,1134,18.08567308822721,17.18138943381585,18.989956742638572,498,473,523,362.3778254723894,344.2589341987699,380.49671674600893,1773,1684,1862,903.4870821268486,858.3127280205061,948.661436233191,161.98822722845014,153.88881586702763,170.08763858987265
Красноярская,2025,11,5480061.510616826,5206058.435085984,5754064.586147668,221,210,232,582.5968825402224,553.4670384132113,611.7267266672335,1145,1088,1202,19.367661042416376,18.399277990295555,20.336044094537197,546,519,573,395.5168298736878,375.7409883800034,415.29267136737224,1912,1816,2008,997.4813734563265,947.6073047835101,1047.3554421291428,182.02010534441098,172.91910007719042,191.12111061163154
Красноярская,2025,12,5352612.311154968,5084981.695597219,5620242.926712717,234,222,246,621.1099056229571,590.0544103418092,652.1654009041049,1233,1171,1295,20.12406709793484,19.117863743038097,21.130270452831585,573,544,602,411.04879866805953,390.49635873465655,431.6012386014625,2040,1938,2142,1052.2827713889515,999.6686328195038,1104.8969099583992,196.5923758752282,186.7627570814668,206.42199466898964
Красноярская,2026,1,5271440.759986984,5007868.721987634,5535012.797986333,234,222,246,617.1419840655619,586.2848848622838,647.9990832688401,1267,1204,1330,20.58276970070831,19.553631215672894,21.61190818574373,593,563,623,427.62058212616193,406.2395530198538,449.00161123247005,2094,1989,2199,1065.345335892432,1012.0780690978105,1118.6126026870538,202.09756391060395,191.99268571507375,212.20244210613416
Красноярская,2026,2,5173551.960545051,4914874.362517798,5432229.5585723035,230,218,242,609.4509115611968,578.9783659831369,639.9234571392567,1267,1204,1330,20.979380127671753,19.930411121288163,22.028349134055343,578,549,607,412.26601763924185,391.65271675727973,432.87931852120397,2075,1971,2179,1042.6963093281104,990.5614938617048,1094.831124794516,201.5436043321886,191.46642411557917,211.62078454879804
Красноярская,2026,3,5266867.951017773,5003524.5534668835,5530211.348568662,219,208,230,586.397384144874,557.0775149376302,615.7172533521177,1199,1139,1259,19.99668669856975,18.996852363641263,20.996521033498237,545,518,572,384.98780131955374,365.73841125357603,404.23719138553145,1963,1865,2061,991.3818721629975,941.8127785548476,1040.9509657711474,188.2298704624676,178.8183769393442,197.641363985591
Красноярская,2026,4,5367452.0088044945,5099079.40836427,5635824.609244719,202,192,212,550.8241429574132,523.2829358095426,578.3653501052838,1088,1034,1142,18.13518993416797,17.22843043745957,19.041949430876368,487,463,511,362.33927529950444,344.2223115345292,380.4562390644797,1777,1688,1866,931.2986081910856,884.7336777815312,977.8635386006399,173.50851142468176,164.83308585344767,182.18393699591584
Красноярская,2026,5,5540053.394295283,5263050.724580518,5817056.064010047,189,180,198,510.54911086173877,485.0216553186518,536.0765664048257,1017,966,1068,16.95045026899961,16.10292775554963,17.79797278244959,458,435,481,347.41012767061295,330.0396212870823,364.7806340541436,1664,1581,1747,874.9096888013513,831.1642043612837,918.6551732414189,157.92441453764064,150.0281938107586,165.82063526452268
Красноярская,2026,6,5561549.198394038,5283471.7384743355,5839626.65831374,182,173,191,486.5174931724132,462.1916185137925,510.8433678310339,984,935,1033,16.640075487490808,15.808071713116266,17.47207926186535,433,411,455,331.1425820555191,314.58545295274314,347.69971115829503,1599,1519,1679,834.3001507154231,792.5851431796519,876.0151582511943,150.01218562560535,142.51157634432508,157.51279490688563
Красноярская,2026,7,5602748.065263699,5322610.662000514,5882885.468526884,171,162,180,453.45541531913887,430.7826445531819,476.1281860850958,957,909,1005,16.401732097908546,15.581645493013118,17.221818702803976,428,407,449,321.10480386787304,305.0495636744794,337.1600440612667,1556,1478,1634,790.9619512849205,751.4138537206744,830.5100488491665,141.17392787813904,134.11523148423208,148.232624272046
Красноярская,2026,8,5623667.810780954,5342484.420241905,5904851.201320002,169,161,177,451.2200976333779,428.659092751709,473.7811025150468,965,917,1013,16.66516125662487,15.831903193793625,17.498419319456115,431,409,453,326.09601229681175,309.79121168197116,342.40081291165234,1565,1487,1643,793.9812711868145,754.2822076274738,833.6803347461553,141.18566350322087,134.1263803280598,148.24494667838192
Красноярская,2026,9,5618718.164907627,5337782.256662245,5899654.073153009,179,170,188,473.0612056902039,449.4081454056937,496.7142659747141,1011,960,1062,17.43170182163266,16.560116730551027,18.303286912714295,453,430,476,340.0867498842451,323.0824123900328,357.09108737845736,1643,1561,1725,830.5796573960816,789.0506745262775,872.1086402658858,147.8236909235928,140.43250637741315,155.21487546977247
