indicator,road,MAPE_%,SMAPE_%,n_trees,test_year
LOSS_3_COUNT,Калининградская,218.7032994148568,99.78124175846213,1999,2024
LOSS_3_COUNT,Красноярская,1.6264638494673955,1.6290398387898963,1999,2024
LOSS_3_COUNT,Куйбышевская,2.0903357255707915,2.0662880501325347,1999,2024
LOSS_3_COUNT,Московская,3.4620717875877025,3.5313094652702737,1999,2024
LOSS_3_COUNT,Октябрьская,2.299735376426476,2.301510795799432,1999,2024
LOSS_3_COUNT,Приволжская,2.406970698500942,2.413589155912493,1999,2024
LOSS_3_COUNT,Свердловская,1.0020916843443477,1.0014346431164898,1999,2024
LOSS_3_COUNT,Северная,7.791858542388678,7.3057785659701375,1999,2024
LOSS_3_COUNT,Северо-Кавказская,1.0111579846991245,1.0058793363104408,1999,2024
LOSS_3_COUNT,Юго-Восточная,2.675628282522535,2.7212474192163274,1999,2024
LOSS_3_COUNT,Южно-Уральская,1.936182749733777,1.9253792794865787,1999,2024
LOSS_3_SUM,Восточно-Сибирская,1.1505268290227917,1.1506773859888304,1464,2024
LOSS_3_SUM,Горьковская,2.5643193801647746,2.5421033387272307,1464,2024
LOSS_3_SUM,Дальневосточная,2.214047446213778,2.210992161039585,1464,2024
LOSS_3_SUM,Забайкальская,2.3664002177594363,2.4073200714808927,1464,2024
LOSS_3_SUM,Западно-Сибирская,4.2236869858377855,4.213490195902624,1464,2024
LOSS_3_SUM,Калининградская,97.65178572215399,61.22105140288622,1464,2024
LOSS_3_SUM,Красноярская,10.536860710077999,10.061030347379402,1464,2024
LOSS_3_SUM,Куйбышевская,2.2718276701096998,2.2825762667096074,1464,2024
LOSS_3_SUM,Московская,4.146163776569095,4.218171986386968,1464,2024
LOSS_3_SUM,Октябрьская,1.3214827121953514,1.310974938236164,1464,2024
LOSS_3_SUM,Приволжская,4.312061523334613,4.269371415726942,1464,2024
LOSS_3_SUM,Свердловская,2.524495792469353,2.5282512330849203,1464,2024
LOSS_3_SUM,Северная,5.1122591485378335,5.057538683183572,1464,2024
LOSS_3_SUM,Северо-Кавказская,2.454384462664917,2.427001607984251,1464,2024
LOSS_3_SUM,Юго-Восточная,6.839879483211537,6.585187328034355,1464,2024
LOSS_3_SUM,Южно-Уральская,1.086989823587018,1.0907119750971945,1464,2024
LOSS_TECH_COUNT,Восточно-Сибирская,2.2555072656561466,2.2255171138354153,1999,2024
LOSS_TECH_COUNT,Горьковская,1.3461014469726342,1.3430987498454565,1999,2024
LOSS_TECH_COUNT,Дальневосточная,1.8995967312334463,1.918155772884957,1999,2024
LOSS_TECH_COUNT,Забайкальская,2.239145494525138,2.2518715376287264,1999,2024
LOSS_TECH_COUNT,Западно-Сибирская,2.441570775611485,2.4201245227237282,1999,2024
LOSS_TECH_COUNT,Калининградская,195.4675080670275,100.57460748340463,1999,2024
LOSS_TECH_COUNT,Красноярская,2.3850821539339933,2.3943989522028386,1999,2024
LOSS_TECH_COUNT,Куйбышевская,1.9959932952097925,1.992555717113197,1999,2024
LOSS_TECH_COUNT,Московская,2.6822878435143758,2.7239249240920462,1999,2024
LOSS_TECH_COUNT,Октябрьская,1.4433931253554637,1.4536617025452494,1999,2024
LOSS_TECH_COUNT,Приволжская,1.9124819087043161,1.903227930851043,1999,2024
LOSS_TECH_COUNT,Свердловская,1.7609881183449663,1.7894140708598034,1999,2024
LOSS_TECH_COUNT,Северная,4.099039274356729,4.196010892021249,1999,2024
LOSS_TECH_COUNT,Северо-Кавказская,1.218260877676796,1.215702154858745,1999,2024
LOSS_TECH_COUNT,Юго-Восточная,1.7700140227534213,1.7906707280494312,1999,2024
LOSS_TECH_COUNT,Южно-Уральская,1.6024157411764433,1.6141164939313886,1999,2024
LOSS_TECH_SUM,Восточно-Сибирская,2.232490398649232,2.193561528656021,2000,2024
LOSS_TECH_SUM,Горьковская,3.6892932789657684,3.6238772538585797,2000,2024
LOSS_TECH_SUM,Дальневосточная,1.916512646070969,1.9401071149851357,2000,2024
LOSS_TECH_SUM,Забайкальская,2.414184880807125,2.435822804003332,2000,2024
LOSS_TECH_SUM,Западно-Сибирская,2.484136627833686,2.4389925916961306,2000,2024
LOSS_TECH_SUM,Калининградская,865.5478041405372,159.59600079953594,2000,2024
LOSS_TECH_SUM,Красноярская,3.352241278584721,3.2596988368972566,2000,2024
LOSS_TECH_SUM,Куйбышевская,2.043450382201474,2.0458542422424086,2000,2024
LOSS_TECH_SUM,Московская,1.6532087567780778,1.6723429068216025,2000,2024
LOSS_TECH_SUM,Октябрьская,1.7663097989914076,1.790978889361804,2000,2024
LOSS_TECH_SUM,Приволжская,1.3988400314919442,1.409517815861179,2000,2024
LOSS_TECH_SUM,Свердловская,1.6303231245916014,1.623435864232078,2000,2024
LOSS_TECH_SUM,Северная,2.0665636555283378,2.084400924322592,2000,2024
LOSS_TECH_SUM,Северо-Кавказская,4.083365089741718,4.138984544878462,2000,2024
LOSS_TECH_SUM,Юго-Восточная,8.3251130252486,8.67455845625064,2000,2024
LOSS_TECH_SUM,Южно-Уральская,1.903755922618121,1.8930115576360727,2000,2024
